2017-07-19 09:29:29 [INFO] =============Sort job go!================= 
2017-07-19 09:29:29 [INFO] =============Sort job done!=================
 
2017-07-21 10:47:44 [INFO] =============Sort job go!================= 
2017-07-21 10:47:45 [INFO] copy C:/Users/Public/Pictures\20170720165255\20080218\Penguins.jpg to 20080218 
2017-07-21 10:47:45 [INFO] copy C:/Users/Public/Pictures\20170720165255\20080314\Chrysanthemum.jpg to 20080314 
2017-07-21 10:47:45 [INFO] copy C:/Users/Public/Pictures\20170720165255\20080314\Desert.jpg to 20080314 
2017-07-21 10:47:45 [INFO] copy C:/Users/Public/Pictures\20170720165255\20080324\Hydrangeas.jpg to 20080324 
2017-07-21 10:47:45 [INFO] copy C:/Users/Public/Pictures\20170720165255\20090714\desktop.ini to 200907 
2017-07-21 10:47:45 [INFO] copy C:/Users/Public/Pictures\20170720165319\20080207\Tulips.jpg to 20080207 
2017-07-21 10:47:45 [INFO] copy C:/Users/Public/Pictures\20170720165319\20080211\Jellyfish.jpg to 20080211 
2017-07-21 10:47:45 [INFO] copy C:/Users/Public/Pictures\20170720165319\20080211\Koala.jpg to 20080211 
2017-07-21 10:47:45 [INFO] copy C:/Users/Public/Pictures\20170720165319\20080211\Lighthouse.jpg to 20080211 
2017-07-21 10:47:45 [INFO] copy C:/Users/Public/Pictures\20170720165319\20080218\Penguins.jpg to 20080218 
2017-07-21 10:47:45 [INFO] copy C:/Users/Public/Pictures\20170720165319\20080314\Chrysanthemum.jpg to 20080314 
2017-07-21 10:47:45 [INFO] copy C:/Users/Public/Pictures\20170720165319\20080314\Desert.jpg to 20080314 
2017-07-21 10:47:45 [INFO] copy C:/Users/Public/Pictures\20170720165319\20080324\Hydrangeas.jpg to 20080324 
2017-07-21 10:47:45 [INFO] copy C:/Users/Public/Pictures\20170720165319\20090714\desktop.ini to 200907 
2017-07-21 10:47:45 [INFO] copy C:/Users/Public/Pictures\20170720165546\20080207\Tulips.jpg to 20080207 
2017-07-21 10:47:45 [INFO] copy C:/Users/Public/Pictures\20170720165546\20080211\Jellyfish.jpg to 20080211 
2017-07-21 10:47:46 [INFO] copy C:/Users/Public/Pictures\20170720165546\20080211\Koala.jpg to 20080211 
2017-07-21 10:47:46 [INFO] copy C:/Users/Public/Pictures\20170720165546\20080211\Lighthouse.jpg to 20080211 
2017-07-21 10:47:46 [INFO] copy C:/Users/Public/Pictures\20170720165546\20080218\Penguins.jpg to 20080218 
2017-07-21 10:47:46 [INFO] copy C:/Users/Public/Pictures\20170720165546\20080314\Chrysanthemum.jpg to 20080314 
2017-07-21 10:47:46 [INFO] copy C:/Users/Public/Pictures\20170720165546\20080314\Desert.jpg to 20080314 
2017-07-21 10:47:46 [INFO] copy C:/Users/Public/Pictures\20170720165546\20080324\Hydrangeas.jpg to 20080324 
2017-07-21 10:47:46 [INFO] copy C:/Users/Public/Pictures\20170720165546\20090714\desktop.ini to 200907 
